,accuracy,auc,rmse
3.1.4,0.6921108742004265,0.31673576561636263,0.4468982993775334
2.1.3,0.6150059031877213,0.3341804407713499,0.47002867189967595
2.1.2,0.6623386465342207,0.5589000949127295,0.4511949857342597
3.1.3,0.6039702480457637,0.3375734352759582,0.47702416948414517
3.1.2,0.7336377265597552,0.3587588157629793,0.445010309613342
3.1.1,0.6134694463739826,0.3259604410484573,0.4838057348479298
4.1.4,0.6319067161231013,0.29122577252177895,0.47910245908367116
4.1.1,0.6472491979167546,0.2946744504938764,0.4675117901981411
4.1.2,0.6091501174460815,0.2234402804470069,0.4866484306459699
4.1.3,0.5597657965473146,0.32223710156582286,0.4723796793491454
