,accuracy,auc,rmse
3.1.4,0.7263681592039801,0.7024880500061281,0.4369855960200669
2.1.3,0.5347107438016528,0.6365765206815992,0.49829901601368676
2.1.2,0.6788277511961722,0.5074202953400194,0.4590927374547226
3.1.3,0.6184798807749627,0.6578865805827279,0.4815573955268402
3.1.2,0.7373202119606359,0.6869036223102538,0.4507626242845009
3.1.1,0.5991875423155044,0.6067997465612637,0.49211555967428156
4.1.4,0.6772908366533864,0.7065866361788617,0.47072694993709624
4.1.1,0.6902536715620827,0.7216160565114167,0.4566439676022794
4.1.2,0.5246636771300448,0.5257793764988009,0.5298704548900189
4.1.3,0.6024590163934426,0.7073765494818126,0.46551690277278246
