,accuracy,auc,rmse
2.1,0.6729700367974543,0.30865207803254846,0.45168175425164336
2.2,0.6608681126532713,0.40698962253647525,0.46414036929358293
2.3,0.650020430020986,0.37593293649880405,0.4688275647311492
4.1,0.6537351129842018,0.3309132452837429,0.46924096374393987
4.2,0.6203430013770138,0.36267219420044416,0.4685142230892129
4.3,0.5739201083178228,0.35610844085335697,0.4741398314619441
3.2,0.6396051360188222,0.35564682473425313,0.47240856288293537
3.3,0.6623222542698834,0.38281636563860827,0.46140949128905523
1.1,0.6093538383736379,0.3735525980093159,0.4758389908462648
1.3,1.0,0.5,0.0
3.1,0.6459565442301008,0.36826996755441777,0.46865228791917357
1.2,0.6840755729394394,0.40360592305926823,0.4536342741966115
3.4,0.6915673660882204,0.3908894231070187,0.44980309329396967
3.5,0.6099081364829395,0.39932508436445446,0.46781924982010165
3.6,0.655921428998352,0.29758096782135246,0.4633970055287177
